0,1,2,3,4,5,6,7,8,9
131,92,126,74,42,30,62,12,130,127
40,138,6,10,102,141,83,111,116,43
22,147,140,63,127,146,5,4,128,81
100,69,88,50,6,87,132,121,89,13
148,5,98,10,102,106,83,33,116,97
63,62,114,128,42,140,83,2,89,97
99,135,2,145,149,146,62,98,128,67
38,151,98,145,13,107,109,138,130,11
77,132,4,10,102,78,83,126,74,42
92,129,3,116,55,23,5,98,130,43
65,62,126,116,43,71,109,121,128,155
90,32,140,130,149,64,34,3,121,13
138,29,78,63,127,38,92,126,101,149
4,151,6,130,149,52,113,108,128,144
40,138,53,50,81,46,58,15,20,122
4,62,6,128,11,78,151,126,74,115
65,92,137,128,42,56,62,19,103,43
23,92,48,96,81,121,72,107,20,42
22,138,89,128,102,76,34,135,50,155
124,113,12,128,43,100,132,125,130,51
22,83,111,89,43,23,92,41,145,97
100,83,59,74,42,107,135,50,98,88
124,123,138,116,73,7,132,98,74,133
72,132,4,130,149,141,129,111,145,81
107,69,4,10,149,60,83,12,130,102
72,129,140,50,24,84,5,88,128,33
92,151,74,37,42,140,123,38,103,155
94,129,82,128,42,141,138,33,10,144
56,62,77,130,81,107,69,121,74,55
38,69,98,128,43,148,104,126,103,51
79,62,93,74,154,136,71,91,116,149
38,132,4,145,11,22,119,2,130,149
148,92,4,74,144,60,129,59,50,42
145,62,126,74,42,124,83,2,128,11
107,138,125,101,81,110,135,6,156,43
125,69,56,145,13,132,42,98,63,102
107,132,93,28,42,23,29,56,74,149
92,138,91,20,13,62,113,6,74,144
124,138,4,21,0,140,132,112,117,43
124,105,33,134,42,119,83,137,128,51
140,62,6,128,36,92,123,146,10,102
124,137,4,10,154,23,5,3,121,72
62,83,126,156,51,84,92,3,17,97
98,83,84,130,102,85,92,72,96,6
131,83,12,130,127,46,151,98,10,149
148,5,48,128,42,56,151,121,116,149
92,151,111,10,149,124,62,3,74,42
99,138,77,128,81,95,123,98,50,42
77,119,56,50,55,38,132,108,96,155
131,129,108,130,102,118,109,126,96,144
77,83,114,130,102,125,135,126,74,43
56,34,12,63,102,22,62,126,121,11
23,104,6,130,51,77,148,138,145,47
141,58,91,116,149,23,5,3,128,115
98,132,12,116,97,7,83,2,74,42
140,62,53,130,149,134,69,22,128,11
100,8,138,128,144,92,132,126,50,88
65,151,2,50,24,5,104,98,128,88
148,62,143,10,102,56,69,41,128,51
125,132,53,128,154,77,129,135,116,102
92,62,4,145,97,22,83,114,74,144
140,29,134,101,155,92,5,2,116,43
153,123,37,128,44,87,62,6,130,117
72,129,6,128,144,100,130,140,69,36
56,58,98,74,39,140,137,6,156,155
140,83,2,130,102,22,109,138,116,43
107,5,125,111,81,65,83,3,28,155
38,119,3,130,75,22,62,77,103,11
87,92,77,130,102,56,109,119,10,36
138,92,107,74,102,140,69,132,128,144
22,54,4,50,88,94,62,98,96,36
90,113,125,74,42,46,83,38,128,89
140,69,121,101,102,107,105,111,145,11
100,105,88,128,144,106,123,126,74,42
124,109,146,130,144,95,151,128,2,43
84,137,92,116,43,9,62,98,103,81
124,27,73,128,13,56,104,3,74,144
71,14,3,50,149,72,137,138,156,24
4,147,134,74,155,52,62,114,145,13
23,92,98,10,149,124,109,22,116,126
63,5,59,10,127,64,132,121,74,149
148,62,121,128,155,71,92,12,130,149
40,129,2,116,51,148,62,125,145,26
79,5,89,116,155,71,92,93,128,144
107,132,126,130,149,56,123,45,121,72
107,62,6,128,42,141,109,121,50,88
15,83,48,116,102,56,69,6,134,149
141,109,126,10,149,4,83,98,116,155
52,83,4,21,11,23,70,53,128,97
38,137,91,128,34,30,83,98,116,102
25,132,140,74,36,56,139,111,116,42
71,132,33,10,131,95,62,143,128,123
141,152,54,156,2,56,62,53,50,102
23,109,6,28,144,72,5,125,128,42
107,69,6,25,74,38,135,41,10,88
92,135,126,130,81,78,138,38,145,13
100,132,12,128,149,22,72,121,145,97
77,35,38,134,102,56,83,59,10,67
136,62,6,116,43,106,92,126,128,155
107,92,77,101,155,38,5,98,10,149
146,109,41,103,55,77,83,98,74,144
52,62,6,63,88,40,71,114,74,43
146,137,135,74,144,140,29,138,130,102
38,129,111,130,42,121,62,91,74,144
22,104,114,134,31,148,83,4,50,149
74,132,41,23,42,148,5,93,128,111
92,113,114,130,144,107,29,40,28,155
148,83,2,128,144,15,132,140,101,81
40,66,77,74,33,22,137,126,130,81
146,104,98,10,42,56,69,12,50,133
40,62,126,74,42,100,69,138,101,144
107,92,41,128,25,77,151,38,74,42
107,69,56,116,149,98,57,41,128,51
107,83,78,50,142,46,57,2,156,25
145,69,4,132,13,64,62,125,20,2
148,5,2,156,155,124,135,6,130,102
64,62,3,156,81,56,132,41,130,149
98,62,126,153,155,40,109,134,116,11
92,135,12,116,42,56,123,121,145,13
72,129,3,128,43,40,34,19,50,88
92,135,41,128,42,22,62,4,134,142
131,137,125,50,97,98,69,140,20,13
40,62,6,50,102,22,27,123,128,43
100,92,6,130,155,22,62,126,145,97
100,72,121,128,155,40,62,108,130,127
121,60,77,50,39,125,109,15,116,155
29,92,12,96,107,52,62,6,130,102
140,62,37,50,33,84,71,98,116,115
38,123,135,101,154,23,69,138,50,88
78,1,98,130,36,148,62,126,128,88
72,62,98,128,23,106,152,59,50,102
118,137,125,156,155,7,132,29,134,102
72,5,146,130,102,140,62,114,98,42
64,148,140,74,102,121,109,59,130,55
151,85,41,128,42,100,135,114,116,97
87,92,93,50,149,98,135,141,74,144
7,92,143,128,51,77,5,4,17,126
100,19,109,10,55,23,139,98,63,81
16,132,6,128,42,125,129,126,130,97
22,19,88,103,89,23,104,2,49,42
107,74,135,114,42,121,104,12,89,155
71,69,108,130,51,72,5,6,21,28
4,132,46,145,155,140,69,40,130,102
146,83,2,116,51,141,151,126,128,42
125,83,111,128,36,107,69,140,117,144
23,14,98,128,31,38,137,126,116,97
38,83,77,128,42,40,109,125,116,97
92,69,3,134,75,65,5,98,153,81
100,109,140,74,2,106,5,3,65,13
124,92,4,10,149,79,138,77,101,155
52,69,135,121,72,23,151,53,74,39
38,135,77,50,25,148,5,138,74,42
23,34,2,50,88,3,83,56,130,42
146,8,111,128,36,98,72,22,10,102
15,129,111,103,149,141,132,6,10,102
136,138,126,130,102,94,151,140,89,149
38,98,5,130,149,71,109,140,116,51
145,104,111,107,81,125,69,4,103,97
15,104,33,18,142,148,92,4,116,42
138,69,90,50,88,111,5,22,17,102
81,124,93,128,129,104,111,140,130,87
107,19,37,50,117,23,132,137,128,42
71,151,77,28,155,106,103,111,62,102
38,69,135,145,31,63,58,91,103,97
23,92,12,145,43,125,5,126,74,11
56,62,137,74,144,148,132,12,121,97
107,92,37,116,81,131,69,134,123,128
98,62,2,116,51,92,69,41,74,43
124,5,3,101,81,107,109,138,128,144
22,34,135,21,102,140,104,143,130,42
84,62,37,103,142,72,132,114,156,155
52,83,6,74,42,84,92,111,128,144
137,106,135,50,42,124,92,111,128,88
38,62,3,50,75,118,109,102,10,126
124,69,53,134,127,33,129,73,74,144
106,57,121,128,49,76,119,137,17,51
22,29,56,130,149,107,138,114,10,35
124,92,98,101,47,146,62,37,128,42
107,32,126,50,142,95,58,98,74,102
56,69,43,116,97,40,29,125,63,75
87,97,98,145,83,41,132,89,10,13
78,57,138,74,102,140,71,62,130,144
71,129,77,128,155,23,83,3,130,102
124,58,2,130,149,100,92,48,153,28
100,62,59,116,51,77,34,38,74,42
140,62,6,116,102,78,92,77,103,149
92,132,41,116,126,121,19,98,130,42
92,57,98,128,42,38,5,126,130,102
72,123,121,134,142,40,83,19,74,42
107,29,38,74,42,102,97,135,153,123
4,137,38,10,127,78,71,111,103,102
124,83,3,128,144,92,138,12,134,36
92,1,4,10,102,47,31,121,74,11
114,119,146,10,142,56,132,2,130,102
77,135,140,128,39,56,69,83,74,2
77,34,136,74,51,128,57,78,125,97
100,137,135,10,149,22,69,134,74,42
107,71,98,116,49,68,83,41,74,42
98,5,38,134,43,92,62,4,116,55
92,83,98,101,155,95,69,107,128,81
23,132,93,74,81,140,19,77,134,144
140,62,4,96,42,65,151,2,74,115
104,92,146,89,51,56,69,135,116,97
23,57,53,128,81,100,62,6,74,39
38,62,33,28,142,148,132,53,50,102
84,62,53,28,34,72,151,41,116,149
78,123,128,79,73,148,92,140,117,2
40,132,98,63,149,72,62,114,128,155
100,29,48,103,39,23,129,126,116,43
100,62,37,89,146,15,151,138,98,42
73,129,53,74,43,120,62,2,128,154
63,32,22,74,42,131,135,137,10,102
140,92,114,103,149,107,72,121,130,97
92,137,138,130,97,72,132,98,50,88
40,62,126,128,33,84,109,135,121,75
124,113,2,156,155,101,137,114,74,19
78,62,59,96,149,92,69,12,10,144
87,109,77,121,155,146,62,53,116,51
136,151,114,156,81,107,104,77,50,149
100,62,126,128,2,23,99,111,50,144
140,34,59,130,102,98,132,53,128,51
64,60,38,116,11,72,104,4,128,81
84,132,12,96,42,126,62,40,103,144
110,92,41,116,119,107,69,3,128,122
107,109,121,10,102,92,29,56,50,11
131,62,37,74,149,72,5,41,130,51
107,69,146,153,33,134,123,38,64,81
12,92,38,20,97,140,139,4,21,39
23,137,138,50,81,100,62,64,74,88
146,92,4,63,102,84,132,3,116,51
67,151,135,74,42,100,58,138,128,2
107,62,120,145,51,38,135,130,81,91
1,140,6,28,127,100,62,112,128,81
98,5,140,74,34,64,92,83,50,42
136,104,114,128,88,72,132,111,10,102
148,105,41,145,97,84,132,111,17,144
23,137,125,74,127,82,62,2,63,34
56,92,6,28,102,78,62,12,10,149
63,83,98,145,43,26,92,77,74,102
4,5,63,116,51,77,135,3,156,155
78,5,111,130,39,155,83,22,74,33
148,83,77,74,42,149,62,59,10,15
15,8,2,103,39,136,62,3,128,81
92,57,126,74,88,125,135,6,130,81
140,83,137,134,142,30,58,43,116,55
107,109,125,128,42,3,102,71,130,119
100,135,108,128,101,67,5,59,74,2
107,5,77,50,51,72,62,140,101,87
148,62,77,128,120,118,109,140,101,155
92,62,2,145,97,35,132,41,10,149
15,119,64,86,127,124,72,6,74,36
136,69,22,130,51,87,70,98,128,81
77,132,122,128,81,4,62,126,130,149
63,29,125,130,51,98,69,56,21,149
100,151,12,74,81,4,109,140,128,42
119,62,135,74,88,106,129,114,130,102
56,129,6,74,88,120,69,135,128,89
38,69,135,96,42,92,104,12,74,144
106,137,71,50,42,118,116,41,57,117
52,62,41,128,42,107,92,4,145,13
22,151,114,130,149,92,62,37,128,126
65,132,135,128,88,92,62,4,28,144
131,109,107,10,42,125,69,56,134,36
77,62,140,128,51,92,151,114,103,149
125,69,138,89,11,40,64,111,145,97
65,57,3,128,42,107,92,126,50,24
111,5,107,128,42,78,132,126,116,31
98,62,111,103,36,5,71,41,145,13
107,62,98,130,102,100,69,3,128,51
56,123,125,153,87,118,92,12,130,127
71,1,126,86,51,15,5,38,10,102
77,152,125,128,146,15,104,112,140,73
63,62,119,130,42,77,8,107,128,102
124,62,114,74,75,107,83,130,77,149
73,104,126,128,81,9,62,4,63,149
106,62,59,103,149,124,129,137,117,81
131,129,98,130,144,146,29,41,134,25
125,83,98,117,81,124,5,53,128,149
146,135,12,128,36,136,69,134,74,155
107,69,138,74,142,134,123,22,50,88
72,5,4,50,36,107,69,22,116,55
140,83,2,10,102,71,113,3,130,144
77,83,3,74,39,131,62,4,145,43
92,83,126,116,144,107,69,140,10,127
38,34,65,130,102,72,92,98,116,43
140,99,53,128,42,148,147,83,130,97
84,14,143,74,127,51,92,25,145,148
146,62,41,74,81,140,135,98,116,97
84,62,111,10,43,77,5,98,63,97
107,5,111,145,13,141,34,114,130,11
52,29,121,128,42,107,57,116,12,43
23,62,53,128,144,107,69,12,74,43
92,5,108,128,42,107,132,6,156,51
106,62,37,130,149,140,72,141,128,43
38,104,114,10,149,140,132,126,130,102
77,92,138,130,31,125,123,4,28,149
30,109,126,130,149,40,62,111,10,42
22,83,33,128,51,32,69,140,74,88
71,58,53,10,102,124,116,114,5,2
107,62,114,130,149,63,151,2,20,33
146,23,2,74,73,38,92,114,20,144
23,69,4,128,144,72,92,53,50,102
121,109,43,50,149,141,62,4,128,81
72,151,83,74,144,23,54,4,63,42
140,69,111,74,144,60,58,91,116,149
30,129,12,134,142,107,62,126,98,154
107,135,2,128,42,92,5,93,130,102
146,83,2,49,81,84,123,41,50,42
124,137,125,130,102,63,5,111,128,42
150,109,121,130,51,38,132,3,116,6
100,148,12,145,51,23,132,37,130,102
136,109,126,50,42,146,138,98,134,144
148,62,77,50,88,124,142,112,129,134
85,69,98,50,24,47,71,4,130,155
78,83,77,116,43,125,74,59,71,144
7,83,121,116,102,51,5,135,130,78
71,92,121,130,111,107,109,138,17,51
77,5,56,130,42,148,62,111,128,51
124,62,109,103,42,92,57,41,153,43
107,129,53,121,25,65,5,33,74,122
65,129,3,103,149,124,137,38,63,81
121,109,72,128,73,95,151,6,64,144
64,83,114,10,42,71,132,59,128,33
52,105,135,156,144,121,109,4,50,102
107,62,126,130,102,72,132,59,74,42
107,151,4,28,155,134,5,126,116,13
35,151,53,130,102,41,5,4,88,128
56,132,92,28,81,150,62,108,145,73
107,29,136,128,42,40,132,77,50,28
78,92,88,50,59,77,62,3,130,42
72,5,33,156,42,140,92,98,134,102
16,129,126,133,57,84,132,98,116,97
107,62,111,128,39,77,104,125,145,72
92,62,91,128,11,81,138,41,116,23
140,109,56,130,102,148,83,98,128,61
77,69,38,128,42,56,62,65,96,115
124,57,126,128,51,40,132,98,28,155
92,58,138,156,155,56,72,41,116,97
40,34,46,74,42,71,58,107,130,75
84,135,77,10,102,124,70,2,156,42
136,105,88,10,25,16,5,114,20,42
125,62,108,116,43,100,135,6,74,149
38,62,42,116,126,92,132,12,74,144
118,62,2,128,25,56,69,63,50,42
71,69,3,134,144,98,104,126,130,42
22,109,121,10,11,124,69,135,134,47
124,92,98,10,102,79,69,46,145,97
56,69,77,128,142,9,62,98,10,42
72,62,2,74,42,22,5,111,10,102
140,62,114,130,149,78,132,77,50,88
106,69,138,116,97,71,5,48,96,127
60,57,56,130,102,124,109,98,144,10
146,109,125,50,24,108,62,3,116,119
23,34,114,10,155,125,137,108,60,81
107,62,2,28,155,64,132,83,130,42
125,119,135,74,81,77,138,132,145,97
100,132,41,116,81,15,113,37,130,149
100,137,59,116,36,22,1,3,17,155
38,109,111,116,81,146,104,6,65,43
141,132,114,130,102,87,83,6,50,62
131,129,62,101,155,80,1,102,134,81
56,27,38,74,51,78,151,135,50,88
132,52,114,28,155,65,147,22,74,42
72,62,37,145,89,141,109,73,116,97
109,38,12,50,88,124,71,3,128,51
92,137,121,128,36,78,62,106,116,43
92,70,114,130,142,98,104,41,116,88
23,29,56,50,97,52,109,121,116,13
78,69,140,116,97,72,92,138,130,11
132,56,2,28,102,38,109,98,145,155
92,135,98,116,13,151,64,140,145,81
125,137,140,10,127,131,92,114,116,11
23,104,3,128,81,148,132,33,130,102
132,129,123,116,13,125,62,12,50,154
98,62,56,50,42,35,5,138,116,97
23,69,136,116,81,29,132,77,128,39
124,62,6,74,89,107,69,3,128,36
64,62,53,50,88,40,129,37,128,36
71,95,102,28,155,126,62,107,74,144
46,62,53,128,91,77,92,38,28,97
136,34,56,65,127,71,109,121,116,81
107,5,42,50,48,125,132,114,130,149
87,62,51,74,6,107,132,91,116,126
107,29,38,86,102,134,129,108,10,44
124,71,4,130,149,148,69,48,116,144
30,138,137,63,43,136,92,2,116,55
87,83,111,20,155,141,69,77,116,43
107,29,138,74,97,78,57,59,128,149
140,69,63,128,42,148,5,6,103,154
77,135,114,128,43,100,58,140,50,51
87,129,114,128,154,40,109,138,50,102
63,137,126,50,42,124,113,98,128,149
107,135,114,50,88,38,83,111,74,42
16,68,140,29,51,138,105,111,50,88
107,42,6,74,5,98,135,28,128,144
100,109,114,96,149,136,83,4,153,146
124,5,126,128,144,107,83,111,103,51
124,62,111,101,88,148,151,125,10,149
46,62,98,130,42,65,135,12,128,88
100,83,65,50,43,56,69,109,128,88
26,109,56,10,155,15,62,112,116,43
108,104,4,156,155,16,60,65,49,11
148,47,4,128,81,22,5,98,116,11
124,83,2,116,42,56,29,98,74,144
107,5,4,63,102,22,94,53,96,115
118,69,73,134,142,35,62,114,130,155
100,132,98,128,43,140,92,41,116,154
106,51,136,50,8,55,62,98,74,87
38,109,87,116,72,84,83,6,145,13
124,62,126,74,115,148,92,2,145,11
78,69,38,130,43,23,62,77,128,75
40,19,2,74,144,93,92,56,20,81
56,51,126,10,69,92,123,136,103,97
33,132,6,156,43,121,62,111,116,155
77,113,43,116,24,146,62,41,128,155
65,62,12,74,142,131,69,134,116,154
7,69,4,50,127,46,137,22,96,81
100,69,93,130,149,23,5,41,65,73
56,132,135,89,154,98,5,114,116,108
107,5,114,116,51,98,83,140,74,81
62,92,59,116,89,23,5,98,96,126
140,62,41,50,154,42,132,124,130,136
40,83,12,128,42,77,62,98,145,97
131,83,6,116,89,100,137,126,50,81
35,62,53,17,81,23,92,126,116,51
107,64,138,10,149,125,69,135,74,155
72,34,77,145,149,98,132,6,130,43
110,62,111,128,11,98,83,92,116,81
95,69,6,50,88,92,5,4,128,42
146,132,29,128,39,148,104,77,130,149
56,62,48,128,42,124,123,126,130,149
38,138,6,10,149,107,83,114,156,146
125,70,77,20,81,106,83,4,63,24
107,83,12,74,11,92,132,6,145,97
98,113,6,134,142,125,140,29,128,42
124,58,140,116,155,77,62,114,74,43
107,151,77,67,42,84,1,91,128,89
125,137,135,74,42,121,62,98,103,51
23,62,12,128,55,124,123,83,89,81
99,62,28,98,43,92,69,138,74,127
146,62,2,74,42,65,123,81,96,136
87,109,121,116,81,150,83,4,50,43
106,151,2,74,88,124,5,33,96,42
60,69,83,128,42,107,92,12,116,155
121,83,59,145,11,140,5,114,74,88
56,69,83,128,88,107,62,98,145,13
77,83,3,74,144,92,4,126,50,42
60,72,4,145,43,79,62,82,63,11
107,92,6,145,155,80,119,134,10,81
107,109,135,50,154,40,5,98,128,155
40,135,98,156,88,22,62,77,20,61
52,62,98,145,81,110,132,37,128,25
22,83,6,128,34,136,62,135,50,42
140,109,38,50,102,77,92,114,28,81
35,104,82,50,24,78,5,6,130,42
147,99,114,128,43,56,8,140,134,44
23,129,102,128,155,38,57,111,130,149
107,132,112,128,24,15,1,126,145,97
124,137,135,50,24,107,62,114,128,42
52,104,56,50,81,100,137,140,63,144
56,109,138,10,149,77,92,2,130,102
121,119,33,50,24,107,92,6,74,42
38,132,111,156,11,140,135,25,67,51
118,123,62,134,155,124,34,4,130,2
146,27,65,74,11,47,29,138,103,102
25,71,143,10,149,38,69,77,74,81
82,151,56,74,88,102,104,138,130,42
98,135,125,145,13,41,137,38,116,81
141,83,3,130,51,107,147,126,128,55
106,29,138,128,43,100,23,98,96,81
124,132,2,17,144,56,5,3,130,42
125,62,126,145,81,107,5,6,134,72
124,92,4,96,55,72,105,98,128,51
63,62,53,128,88,47,5,135,50,51
140,132,125,89,24,72,5,74,77,81
92,111,84,50,88,107,135,98,10,102
29,92,138,116,13,46,62,108,63,55
131,62,53,128,117,107,34,140,116,81
38,57,41,10,81,107,62,98,130,33
134,83,143,50,42,107,151,12,128,89
3,132,12,63,25,23,104,64,128,89
72,132,135,130,81,65,148,140,10,102
118,69,140,10,149,107,132,98,128,51
71,151,98,130,149,140,62,37,128,42
63,8,127,74,37,124,151,6,116,35
107,147,6,153,146,140,34,103,50,88
107,104,53,28,102,40,29,98,128,97
95,92,6,128,42,125,135,108,116,146
38,71,143,10,149,107,92,3,130,102
140,132,126,74,43,56,92,98,50,36
118,135,123,10,102,78,27,43,86,149
22,69,125,116,43,77,132,38,74,155
78,92,125,128,81,148,62,98,134,149
63,62,138,20,39,131,104,4,130,102
140,105,77,116,149,121,29,98,128,81
60,5,77,128,144,2,58,121,130,102
23,123,38,130,42,78,92,33,50,88
107,135,6,50,97,124,109,121,128,11
107,92,98,50,88,100,83,143,128,42
125,62,119,116,97,52,92,122,18,42
92,109,135,121,2,22,151,29,128,89
107,29,140,101,51,38,123,138,50,154
30,92,147,128,31,38,137,126,20,43
141,132,6,130,81,53,62,72,116,155
107,128,6,62,88,60,123,140,130,102
23,62,121,50,88,100,3,83,116,51
100,69,140,50,149,84,135,6,28,102
126,135,114,92,96,78,62,53,156,39
78,5,126,128,155,139,109,38,130,81
72,62,121,89,43,98,69,135,74,149
56,83,59,130,102,140,70,112,128,117
140,58,111,89,63,146,5,98,74,102
148,92,126,50,88,106,72,98,128,42
141,62,53,74,31,22,109,4,130,51
125,135,91,50,88,23,62,6,128,127
78,104,41,130,51,100,152,65,134,149
77,5,98,128,36,23,92,108,117,81
23,19,140,128,42,77,57,137,50,88
134,62,45,128,126,56,69,12,10,149
77,151,119,116,13,124,34,98,145,72
40,132,114,63,11,64,69,140,128,48
38,109,121,130,42,22,5,6,50,88
77,92,53,128,39,118,62,6,10,51
65,69,132,128,89,77,62,59,50,142
23,5,111,17,102,38,113,59,116,97
141,62,114,134,142,100,60,126,116,88
132,95,126,116,102,54,92,91,128,19
124,34,2,130,154,87,4,138,116,13
98,83,137,50,144,106,135,2,74,75
16,5,12,145,11,22,109,98,74,81
15,62,3,74,42,107,58,125,89,128
77,92,107,116,51,64,5,56,10,149
124,92,114,103,97,148,135,98,63,88
56,69,138,128,42,107,34,72,97,116
87,72,135,116,149,71,92,2,128,102
131,135,37,50,34,136,152,77,128,42
87,132,12,116,42,64,69,140,145,97
4,62,111,130,149,134,92,126,116,97
15,62,53,128,13,117,151,64,74,56
92,5,126,101,43,77,62,37,128,11
56,135,53,10,149,136,132,125,116,155
100,137,135,74,88,95,104,83,128,25
23,62,53,74,88,106,132,108,50,51
95,5,4,128,42,100,83,12,74,102
140,135,4,96,39,92,77,138,128,43
100,139,3,116,51,124,92,126,10,149
38,137,110,21,102,107,62,114,128,81
56,109,46,103,42,125,41,62,128,155
121,69,77,116,11,118,34,135,134,144
92,69,4,128,88,23,19,41,50,42
71,119,135,74,81,147,151,4,128,51
98,135,137,130,149,40,27,140,128,111
119,64,73,134,102,106,109,121,63,81
92,104,137,101,42,23,119,98,130,34
77,151,73,101,42,56,109,22,128,55
100,69,141,96,51,92,129,19,50,88
92,137,38,28,144,121,62,41,51,153
100,105,59,74,97,106,57,111,103,149
138,58,124,74,57,100,104,59,28,102
56,138,126,50,102,135,132,114,128,25
33,92,38,28,42,71,83,98,156,142
72,92,41,145,13,107,132,137,116,51
87,123,140,10,149,56,69,38,130,102
71,62,114,50,57,87,42,1,128,102
107,104,4,74,51,141,62,33,28,144
71,129,98,50,81,78,95,140,101,72
56,69,37,130,155,119,92,77,128,81
141,92,116,4,39,140,69,107,20,31
107,57,98,116,126,124,92,2,10,73
56,72,77,74,42,140,5,106,50,88
38,109,135,140,102,40,62,53,130,149
124,92,2,74,117,38,62,114,20,39
119,69,132,74,42,107,152,137,116,43
79,92,42,28,11,87,132,29,156,81
84,123,3,116,97,66,92,22,128,24
71,132,78,10,42,92,62,53,116,97
107,92,4,116,155,38,62,6,145,51
146,92,6,130,102,136,104,41,74,43
87,83,3,50,149,40,104,4,130,102
100,105,77,10,102,23,58,140,156,51
82,135,52,130,33,84,62,77,74,42
92,62,98,156,13,148,83,41,63,149
140,62,41,103,97,72,132,6,10,149
119,132,123,50,39,56,85,53,10,149
52,132,77,28,102,4,135,98,128,36
87,62,6,156,123,4,104,135,49,51
71,92,126,74,42,155,62,130,77,102
41,62,4,130,102,146,128,114,5,43
72,109,135,50,149,38,27,140,128,43
106,105,111,74,75,99,92,72,128,49
98,104,38,50,102,56,123,62,128,42
87,132,2,29,149,56,104,83,156,155
22,135,93,128,42,41,88,107,50,83
78,137,74,140,133,23,69,142,134,56
92,69,125,50,126,98,83,138,96,155
148,138,111,130,149,92,62,112,103,43
100,5,45,116,51,140,62,2,101,36
106,1,93,74,81,136,62,98,116,149
23,69,107,101,81,72,64,138,63,102
56,69,138,145,111,40,109,38,74,43
46,5,6,128,42,92,132,4,74,51
121,62,73,10,42,56,123,144,20,140
71,69,126,38,155,92,132,98,128,115
38,109,33,116,155,25,83,98,10,81
110,83,4,156,43,52,147,138,10,149
110,151,12,74,42,107,69,3,130,149
140,69,83,10,149,4,92,125,130,51
15,5,111,145,81,65,129,42,10,11
52,83,140,89,144,107,123,56,128,42
63,137,125,102,10,72,132,6,43,74
95,104,126,10,36,22,71,4,130,51
52,57,2,130,149,107,62,134,74,144
30,92,6,20,43,100,69,111,74,97
